Title,Price,Location,Bedrooms,Bathrooms,Amenities,Surroundings,Created At
5 Bed Townhouse with En Suite in Nyali Area,"KSh 29,500,000","Nyali Area, Nyali",5 Bedrooms,5 Bathrooms,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Swimming Pool, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",09 February 2026
6 Bed Townhouse with En Suite in Lavington,"KSh 160,000,000",Lavington,6 Bedrooms,7 Bathrooms,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Gym, Kids Play Area, Parking, Balcony, BBQ, CCTV, Staff Quarters, Electric Fence, Borehole, Wheelchair Access, Gated Community, Garden","Bus Stop, Shopping Centre, Golf Course, Hospital, School, Scenic View",06 February 2026
4 Bed House with En Suite in Runda,"KSh 155,040,000","Runda, Westlands",4 Bedrooms,5 Bathrooms,"Alarm, Backup Generator, En Suite, Walk In Closet, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, CCTV, Electric Fence, Borehole, Garden, Gated Community","Bus Stop, Shopping Centre, Hospital, Scenic View, School, Golf Course",21 October 2025
5 Bed House with En Suite in Westlands Area,"KSh 98,000,000","Westlands Area, Westlands",5 Bedrooms,5 Bathrooms,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, Parking, BBQ, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",17 February 2026
6 Bed Villa with En Suite at Loiyangalani Road,"KSh 85,000,000",Lavington,6 Bedrooms,7 Bathrooms,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Swimming Pool, Staff Quarters, Parking, Gym, Kids Play Area","Bus Stop, Hospital, Scenic View, School, Shopping Centre",17 February 2026
5 Bed Villa with En Suite in Karen,"KSh 165,000,000",Karen,5 Bedrooms,5 Bathrooms,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Swimming Pool","Bus Stop, Shopping Centre, Hospital, School",17 February 2026
5 Bed Townhouse with En Suite in Lavington,"KSh 78,000,000",Lavington,5 Bedrooms,5 Bathrooms,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Garden, Borehole","Bus Stop, Shopping Centre, Hospital, School",17 February 2026
5 Bed Townhouse with En Suite in Lavington,"KSh 75,000,000",Lavington,5 Bedrooms,5 Bathrooms,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",17 February 2026
4 Bed House with En Suite in Ngong,"KSh 13,000,000",Ngong,4 Bedrooms,5 Bathrooms,"En Suite, Fibre Internet, Parking, Wheelchair Access, Staff Quarters, Electric Fence, Borehole, Gated Community","Bus Stop, Hospital, School, Shopping Centre",17 February 2026
5 Bed Townhouse with En Suite in Lavington,"KSh 73,000,000",Lavington,5 Bedrooms,5 Bathrooms,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",17 February 2026
5 Bed Townhouse with En Suite in Lavington,"KSh 98,000,000",Lavington,5 Bedrooms,5 Bathrooms,"Backup Generator, Alarm, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",17 February 2026
5 Bed House with En Suite in Karen,"KSh 160,000,000",Karen,5 Bedrooms,5 Bathrooms,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",17 February 2026
5 Bed Townhouse with En Suite in Lavington,"KSh 65,000,000",Lavington,5 Bedrooms,5 Bathrooms,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",17 February 2026
4 Bed House with En Suite in Lavington,"KSh 40,000,000",Lavington,4 Bedrooms,3 Bathrooms,"En Suite, Walk In Closet, Electric Fence, Garden, Parking, Gated Community","Bus Stop, Hospital, School, Shopping Centre",28 August 2019
5 Bed House with En Suite in Runda,"KSh 120,000,000","Runda, Westlands",5 Bedrooms,5 Bathrooms,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",17 February 2026
4 Bed House with En Suite at Fourways Junction Estate,"KSh 22,000,000",Kiambu Road,4 Bedrooms,4 Bathrooms,"En Suite, Fibre Internet, Balcony, Wheelchair Access, Garden, Electric Fence, Borehole, Parking, Kids Play Area, Staff Quarters, Gated Community, Swimming Pool","Scenic View, Bus Stop, Golf Course, Hospital, School, Shopping Centre",12 July 2019
3 Bed Townhouse with En Suite at Grevillea Grove,"KSh 48,000,000","Brookside, Westlands",3 Bedrooms,3 Bathrooms,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Gated Community, Garden, Wheelchair Access, Swimming Pool, Staff Quarters, Parking, Gym, Kids Play Area","Bus Stop, Hospital, Scenic View, School, Shopping Centre",17 February 2026
4 Bed Townhouse with En Suite in Syokimau,"KSh 18,000,000",Syokimau,4 Bedrooms,4 Bathrooms,"Backup Generator, En Suite, Fibre Internet, Alarm, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",17 February 2026
3 Bed House with En Suite in Syokimau,"KSh 8,000,000",Syokimau,3 Bedrooms,3 Bathrooms,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",17 February 2026
4 Bed House with En Suite in Syokimau,"KSh 16,000,000",Syokimau,4 Bedrooms,4 Bathrooms,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",17 February 2026
3 Bed House with En Suite in Syokimau,"KSh 11,000,000",Syokimau,3 Bedrooms,3 Bathrooms,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",17 February 2026
